player_id,name,final_label,evidence_count,tier1_count,tier2_count,tier3_count,rule_applied,has_low_footprint_flag,labeled_at
00-0039684,Michael Wiley,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0039736,Matt Goncalves,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0039740,Jalyx Hunt,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0039798,Isaiah Davis,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0039868,Troy Franklin,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0040051,Mike Smith Jr.,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0040061,Connor O'Toole,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0040110,Jared Penning,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0040129,Emeka Egbuka,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0040450,Jaden Robinson,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0040533,Aiden Williams,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0040581,Dont'e Thornton Jr.,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0040662,Ty Robinson,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0040677,Abdul Carter,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
00-0040720,Jahdae Barron,,0,0,0,0,insufficient_evidence,false,2026-04-22T23:31:39Z
